card_id,@qr_image,url
YSLC061,qrs/YSLC061.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC061
YSLC062,qrs/YSLC062.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC062
YSLC063,qrs/YSLC063.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC063
YSLC064,qrs/YSLC064.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC064
YSLC065,qrs/YSLC065.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC065
YSLC066,qrs/YSLC066.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC066
YSLC067,qrs/YSLC067.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC067
YSLC068,qrs/YSLC068.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC068
YSLC069,qrs/YSLC069.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC069
YSLC070,qrs/YSLC070.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC070
YSLC071,qrs/YSLC071.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC071
YSLC072,qrs/YSLC072.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC072
YSLC073,qrs/YSLC073.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC073
YSLC074,qrs/YSLC074.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC074
YSLC075,qrs/YSLC075.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC075
YSLC076,qrs/YSLC076.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC076
YSLC077,qrs/YSLC077.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC077
YSLC078,qrs/YSLC078.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC078
YSLC079,qrs/YSLC079.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC079
YSLC080,qrs/YSLC080.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC080
YSLC081,qrs/YSLC081.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC081
YSLC082,qrs/YSLC082.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC082
YSLC083,qrs/YSLC083.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC083
YSLC084,qrs/YSLC084.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC084
YSLC085,qrs/YSLC085.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC085
YSLC086,qrs/YSLC086.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC086
YSLC087,qrs/YSLC087.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC087
YSLC088,qrs/YSLC088.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC088
